Q,1,2,3,4,5,6,7,8,Network_routed,toal_network_evasion
2,0.284,0.253,0.295,0.245,0.258,0.384,NA,0.249,0.282,189903
5,0.291,0.273,0.317,0.235,0.266,0.388,NA,0.244,0.29,190452
10,0.291,0.289,0.328,0.251,0.277,0.392,NA,0.249,0.29,190192
15,0.288,0.301,0.338,0.263,0.284,0.394,NA,0.247,0.289,189719
25,0.281,0.311,0.344,0.282,0.296,0.361,NA,0.245,0.283,188160
35,0.274,0.32,0.359,0.297,0.323,0.366,NA,0.242,0.277,186158
50,0.261,0.328,0.369,0.303,0.335,0.336,NA,0.239,0.266,180604
65,0.249,0.324,0.377,0.31,0.329,0.308,NA,0.242,0.256,169594
75,0.244,0.316,0.381,0.308,0.319,0.313,NA,0.0386,0.252,159574
85,0.241,0.31,0.37,0.319,0.33,0.321,NA,0.0444,0.25,142992
90,0.242,0.303,0.368,0.323,0.325,0.323,NA,0.0486,0.252,129802
95,0.248,0.312,0.353,0.32,0.332,0.325,NA,0.0526,0.263,111229
98,0.257,0.306,0.353,0.323,0.338,0.323,NA,0.0581,0.27,101755
-1,0.285,0.315,0.354,0.294,0.296,0.363,NA,0.245,0.287,189311
-2,0.291,0.312,0.357,0.292,0.323,0.402,NA,0.211,0.29,190923
